"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Resume Builder","Resume Builder/ Riwayat Pekerjaan","Smoke Testing: Resume Builder","0","0","2","0","0"
"Resume Builder","Resume Builder/ Riwayat Pekerjaan/ Hints","Smoke Testing: Resume Builder","0","0","1","0","0"
"Resume Builder","Resume Builder/ Data Diri/ Saved State","Smoke Testing: Resume Builder","0","0","2","0","0"
"Resume Builder","Resume Builder/ Data Diri/ Preview","Smoke Testing: Resume Builder","0","0","1","0","0"
"Resume Builder","Resume Builder/ Data Diri","Smoke Testing: Resume Builder","0","0","4","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Resume Import/ Cancel","Smoke Testing: Resume Builder Page","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Resume Import","Smoke Testing: Resume Builder Page","0","0","5","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data","Smoke Testing: Resume Builder Page","0","0","5","0","0"
"Job","Job/ Filter","Smoke Testing: Job Page","0","0","5","0","0"
"Job","Job/ Filter/ Tipe Pekerjaan","Smoke Testing: Job Page","0","0","1","0","0"
"Job","Job/ Filter/ MSIB","Smoke Testing: Job Page","0","0","1","0","0"
"Job","Job/ Filter/ Easy Apply","Smoke Testing: Job Page","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Resume Import/ Close","Smoke Testing: Resume Builder Page","0","0","1","0","0"
"Job","Job/ Carousel/ Job Card","Smoke Testing: Job Page","0","0","1","0","0"
"Job","Job/ Carousel","Smoke Testing: Job Page","0","1","2","0","0"
"Resume Builder","Resume Builder/ Minat/ Hints","Smoke Testing: Resume Builder","0","0","1","0","0"
"Resume Builder","Resume Builder/ Minat","Smoke Testing: Resume Builder","0","0","2","0","0"
"Job","Job/ Filter/ Pengalaman Kerja","Smoke Testing: Job Page","0","0","1","0","0"
"Resume Builder","Resume Builder/ Riwayat Pendidikan","Smoke Testing: Resume Builder","0","0","2","0","0"
"Resume Builder","Resume Builder/ Riwayat Pendidikan/ Hints","Smoke Testing: Resume Builder","0","0","1","0","0"
"Login","Login","Smoke Testing: Login Page","0","0","3","0","0"
"Login","Login/ Password","Smoke Testing: Login Page","0","0","2","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Resume Import/ Input","Smoke Testing: Resume Builder Page","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Profile Import/ Back Chevron","Smoke Testing: Resume Builder","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Profile Import","Smoke Testing: Resume Builder","0","0","5","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data","Smoke Testing: Resume Builder","0","0","6","0","0"
"","","","0","0","3","0","0"
"Job","Job/ Carousel/ Sort","Smoke Testing: Job Page","0","0","1","0","0"
"Resume Builder","Resume Builder/ Data Diri/ Hints","Smoke Testing: Resume Builder","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Profile Import/ Close","Smoke Testing: Resume Builder","0","0","1","0","0"
"Job","Job/ Filter/ Kemampuan","Smoke Testing: Job Page","0","0","1","0","0"
"Job","Job/ Filter/ Industri","Smoke Testing: Job Page","0","0","1","0","0"
"Job","Job/ Filter/ Nama Perusahaan","Smoke Testing: Job Page","0","0","1","0","0"
"Job","Job/ Filter/ Lokasi","Smoke Testing: Job Page","0","0","1","0","0"
"Job","Job/ Filter/ Posisi","Smoke Testing: Job Page","0","0","1","0","0"
"Resume Builder","Resume Builder/ Keahlian","Smoke Testing: Resume Builder","0","0","2","0","0"
"Resume Builder","Resume Builder/ Keahlian/ Hints","Smoke Testing: Resume Builder","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Profile Import/ Toggle","Smoke Testing: Resume Builder","0","0","1","0","0"
"Resume Builder","Resume Builder/ Achievements","Smoke Testing: Resume Builder","0","0","2","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Resume Import/ Save","Smoke Testing: Resume Builder Page","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Profile Import/ Save","Smoke Testing: Resume Builder","0","0","1","0","0"
"Login","Login/ Email","Smoke Testing: Login Page","0","0","2","0","0"
"Job","Job/ Carousel/ Pagination","Smoke Testing: Job Page","0","1","0","0","0"
"Job","Job/ Filter/ Tipe Pengaturan Kerja","Smoke Testing: Job Page","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume","Smoke Testing: Resume Builder","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Resume Import/ Back Chevron","Smoke Testing: Resume Builder Page","0","0","1","0","0"
"Login","Login/ Google","Smoke Testing: Login Page","0","0","1","0","0"
"Resume Builder","Resume Builder/ Achievements/ Hints","Smoke Testing: Resume Builder","0","0","1","0","0"
"Resume Builder","Resume Builder/ Informasi Resume/ Import Data/ Profile Import/ Cancel","Smoke Testing: Resume Builder","0","0","1","0","0"
